Bayer バイエル社
Bayonet 銃剣
Bayonne バイヨンヌ
Beach 砂浜
Beagle ビーグル
Beak くちばし
Bear クマ
Beaver ビーバー
Bebop ビバップ
Becquerel ベクレル
Bed ベッド
Bedouin ベドウィン
Bee ハチ
Beech ブナ
Beer ビール
Beetle 甲虫類
Behaviorism 行動主義心理学
Beijing 北京市
Beirut ベイルート
Belarus ベラルーシ
Belfast ベルファスト
Belgium ベルギー
Belgrade ベオグラード
Belisarius ベリサリウス
Belize ベリーズ
Bellerophon ベレロポン
Beluga シロイルカ
Benelux ベネルクス
Bengal ベンガル地方
Benghazi ベンガジ
Benin ベナン
Beowulf ベオウルフ
Bergen ベルゲン
Berkelium バークリウム
Berkshire バークシャー
Berlin ベルリン
Bermuda バミューダ諸島
Berne ベルン
Berry ベリー
Beryl 緑柱石
Beryllium ベリリウム
Betelgeuse ベテルギウス
Bethlehem ベツレヘム
Bey ベグ
Bhutan ブータン
Bible 聖書
Bibliography 書誌学
Bicycle 自転車
Bihar ビハール州
Bile 胆汁
Binoculars 双眼鏡
Biochemistry 生化学
Biodiversity 生物多様性
Biogeography 生物地理学
Biography 伝記
Biology Portal: 生物学
Biomass バイオマス
Biome 生物群系
Biometrics 生体認証
Biophysics 生物物理学
Biosphere 生物圏
Biotechnology バイオテクノロジー
Biotin ビオチン
Birch カバノキ属
Bird 鳥類
Bisexuality 両性愛
Bishkek ビシュケク
Bishop 司教
Bismuth ビスマス
Bissau ビサウ
Bit ビット
Bithynia ビテュニア
Bivalvia 二枚貝
Black 黒
Blackbird クロウタドリ
Blindness 失明
Blitzkrieg 電撃戦
Bloemfontein ブルームフォンテーン
Blog ブログ
Blood 血液
Blue 青
Blues ブルース
Boar イノシシ
Bobsleigh ボブスレー
Bodhisattva 菩薩
Bodybuilding ボディビル
Bohemia ボヘミア
Bohrium ボーリウム
Boise ボイシ
Bolivia ボリビア
Bollywood ボリウッド
Bologna ボローニャ
Bolshevik ボリシェヴィキ
Bolzano ボルツァーノ
Bomb 爆弾
Bomber 爆撃機
Bone 骨
Bonn ボン
Bonsai 盆栽
Book 本
Boomerang ブーメラン
Bordeaux ボルドー
Borneo ボルネオ島
Boron ホウ素
Boson ボース粒子
Bosporus ボスポラス海峡
Boston ボストン
Botany 植物学
Botswana ボツワナ
Bottle ボトル
Bourgeoisie ブルジョワジー
Bourgogne ブルゴーニュ地域圏
Bovid ウシ科
Bowling ボウリング
Boxing ボクシング
Bracket 括弧
Braga ブラガ
Brahma ブラフマー
Braille 点字
Brain 脳
Brainstorming ブレインストーミング
Brandenburg ブランデンブルク州
Brandy ブランデー
Brass 黄銅
Brassicaceae アブラナ科
Brassiere ブラジャー
Bratislava ブラチスラヴァ
Braunschweig ブラウンシュヴァイク
Brazil ブラジル
Brazzaville ブラザヴィル
Bread パン
Breast 乳房
Bremen ブレーメン
Bremerhaven ブレーマーハーフェン
Brescia ブレシア
Brest ブレスト
Bretagne ブルターニュ地域圏
Brick 煉瓦
Bridge 橋
Bridgetown ブリッジタウン
Brigade 旅団
Brighton ブライトン
Brindisi ブリンディジ
Brisbane ブリスベン
Bristol ブリストル
Brno ブルノ
Broccoli ブロッコリー
Bromine 臭素
Bronze 青銅
Brooklyn ブルックリン区
Brown 茶色
Bruges ブルッヘ
Brunei ブルネイ
Brussels ブリュッセル
Bucharest ブカレスト
Buckwheat ソバ
Budapest ブダペスト
Buddha 仏陀
Buddhism 仏教
Building 建築物
Bujumbura ブジュンブラ
Bulgaria ブルガリア
Bumblebee マルハナバチ属
Buoyancy アルキメデスの原理
Bureaucracy 官僚制
Burgomaster 首長
Burma ミャンマー
Burqa ブルカ
Bursa ブルサ
Business ビジネス
Butane ブタン
Butter バター
Butterfly チョウ
Bydgoszcz ブィドゴシュチュ
Cabaret キャバレー
Cacao カカオ
Cactus サボテン
Cadmium カドミウム
Cadmus カドモス
Caelum ちょうこくぐ座
Caesium セシウム
Caffeine カフェイン
Cake ケーキ
Calabria カラブリア州
Calcite 方解石
Calcium カルシウム
Calculator 電卓
Calculus 微分積分学
Caldera カルデラ
Calendar 暦
Caliber 口径
California カリフォルニア州
Californium カリホルニウム
Caligula カリグラ
Caliph カリフ
Calligraphy カリグラフィー
Calliope カリオペー
Calorie カロリー
Calvados カルヴァドス県
Calvary ゴルゴタの丘
Calvinism カルヴァン主義
Cambodia カンボジア
Cambrian カンブリア紀
Cambridge ケンブリッジ
Camel ラクダ
Camera カメラ
Cameroon カメルーン
Campania カンパニア州
Canada カナダ
Canal 運河
Canberra キャンベラ
Cancer 悪性腫瘍
Candela カンデラ
Candle ろうそく
Canidae イヌ科
Cannabis アサ
Cannes カンヌ
Cannibalism カニバリズム
Cannon カノン砲
Canoe カヌー
Canopus カノープス
Cantata カンタータ
Canterbury カンタベリー
Capacitance 静電容量
Capacitor コンデンサ
Capital 首都
Capitalism 資本主義
Cappadocia カッパドキア
Capricornus やぎ座
Capsicum トウガラシ属
Caracal カラカル
Caracas カラカス
Carambola スターフルーツ
Carbohydrate 炭水化物
Carbon 炭素
Carboniferous 石炭紀
Carburetor キャブレター
Cardamom カルダモン
Cardiff カーディフ
Cardiology 循環器学
Caribbean 西インド諸島
Caricature 戯画
Carnival 謝肉祭
Carnivora ネコ目
Carnivore 肉食動物
